1, -1148.2453847288712
2, -1624.2774562829711
3, -1264.5804014347862
4, -1073.78521486018
5, -1269.9597804770467
6, -1048.8717934634444
7, -1313.6187060786501
8, -1461.284831780651
9, -1227.832600333168
10, -1142.1477187437463
11, -1152.5876806075792
12, -1456.8149252313126
13, -1340.3653204721888
14, -1482.5213385692384
15, -1137.880632205916
16, -1054.506033472329
17, -1327.1359755660546
18, -1515.4010135202147
19, -1583.7644634736082
20, -1754.9740886693269
21, -1649.5345291474077
22, -1621.1596757064485
23, -1454.7476102382554
24, -1507.437158326902
25, -1461.7818166069585
26, -1593.8869837465472
27, -1602.2396200964831
28, -1555.0180427096086
29, -1709.3878417461929
30, -1226.0341810623008
31, -1575.1335257336973
32, -1343.681620426798
33, -1236.834405114883
34, -1281.7600370039331
35, -1221.181959878771
36, -1323.365063804849
37, -1227.7196447981491
38, -1108.3282816961246
39, -1212.4123976047
40, -1309.8894721406136
41, -1310.772052917568
42, -1188.9390675804877
43, -1297.4240095288637
44, -1268.0850073371
45, -1126.5110929423718
46, -1221.1421584500526
47, -1192.8681520442676
48, -870.0762090977792
49, -1207.413350288197
50, -1089.444704719723
51, -1119.4295918412447
52, -1085.642074470705
53, -958.0241035449178
54, -993.5956135738494
55, -1265.8426233283906
56, -1108.198451429836
57, -1110.4843640642114
58, -986.1224709619224
59, -971.4862048061652
60, -977.1238502095715
61, -965.844266805865
62, -907.5235039863852
63, -881.8636390128659
64, -1001.1218175887017
65, -948.7385574181399
66, -988.3465373083507
67, -1106.8693025951545
68, -878.853315183064
69, -629.581960594747
70, -751.0283183111752
71, -751.6962856027103
72, -632.9017779672638
73, -792.1939972218303
74, -752.0005880774244
75, -617.4640768945937
76, -749.8027055163282
77, -1023.961895856015
78, -387.51782372258805
79, -780.2589053847537
80, -619.7063832885868
81, -770.0739630517583
82, -380.5227164561655
83, -267.9891152084209
84, -255.9544310557672
85, -254.43808575562164
86, -751.4037491410579
87, -1046.5929805605879
88, -374.5487471958202
89, -612.1967727826028
90, -504.6039476776996
91, -1002.0094047841744
92, -252.3200325123998
93, -251.55223500277546
94, -366.6303722759413
95, -375.8407994373408
96, -371.8386356035256
97, -683.0016373707068
98, -636.6512443641226
99, -629.5505220913976
100, -365.28782261189633
101, -251.14879671548297
102, -372.6619049431856
103, -125.4155756398195
104, -243.01429042642533
105, -789.8763829106655
106, -376.65002011473547
107, -624.3223041846302
108, -127.94279287273532
109, -128.6828075897183
110, -367.67594369141506
111, -249.0750206218596
112, -1002.4691534349126
113, -242.38975544221066
114, -248.44998680723467
115, -245.65099139575142
116, -644.8503852433095
117, -124.05795483303228
118, -521.7844384504551
119, -127.834107716538
120, -127.37575136898357
121, -588.2557442122481
122, -526.9707608371027
123, -762.9368668175006
124, -0.18417293463812776
125, -659.9191673558964
126, -619.3096085972913
127, -247.43014889100937
128, -125.84583386046096
129, -498.32569630944045
130, -480.36784280017235
131, -1.0087844886223378
132, -360.8872274189469
133, -358.24651450242925
134, -124.91440334561942
135, -613.5674339402528
136, -241.74318760477544
137, -126.64479789804112
138, -241.01740374518633
139, -520.8616426829427
140, -123.7618821174447
141, -366.70194000052794
142, -248.2527807966719
143, -365.45702581628535
144, -496.43843042075054
145, -513.7275011196951
146, -358.5298395999068
147, -242.94572634190396
148, -485.713071346941
149, -128.6329966820037
150, -246.26909557447715
151, -243.59642597199056
152, -583.559225089899
153, -247.2802477134976
154, -124.5040643140774
155, -127.42718013279274
156, -246.34790162532013
157, -568.7575500281156
158, -374.8831031771297
159, -127.76896783092273
160, -249.01399643782878
161, -239.8368229674483
162, -243.18236802739494
163, -366.002585626259
164, -122.8190532214409
165, -125.23431250194422
166, -238.73218702742832
167, -359.89895062471777
168, -246.75075850913146
169, -245.95655920102686
170, -242.63267960122636
171, -240.34903120999283
172, -245.93825326898923
173, -126.63377857949892
174, -0.9361716083676138
175, -493.4044663371658
176, -492.0075988972091
177, -596.4231108306217
178, -124.59292625462446
179, -124.46625856243818
180, -126.5797432055957
181, -243.35535059999526
182, -122.96348160610106
183, -255.0902656731774
184, -248.50681928394403
185, -0.1960311358283529
186, -123.44081731247721
187, -255.38964879582124
188, -484.9704181390042
189, -359.63823604983963
190, -125.080581417354
191, -124.32228748404238
192, -126.28226834688932
193, -249.43637521030124
194, -751.7240779028696
195, -127.7815211741959
196, -821.3101871854699
197, -837.1362403578489
198, -759.4419099098204
199, -366.06575194904207
200, -124.83834620645787
