1, -1217.2019080473096, -1217.2019080473096
2, -1241.577659692294, -1235.4837217810477
3, -1542.8802794225796, -1407.94437236794
4, -1623.291779495669, -1495.9008614765376
5, -1647.3283514920333, -1548.032384083432
6, -1759.9685999334743, -1608.0296126470123
7, -1874.6090173043945, -1673.0402006055515
8, -1508.7706148366876, -1659.7585082666662
9, -1736.0517423067329, -1678.0849624384364
10, -1673.5888008894947, -1683.922295477164
11, -1601.669401659309, -1680.9829931558904
12, -1736.499069230919, -1691.9111771590585
13, -1660.6699000454503, -1693.4812781781784
14, -1753.1290818953316, -1703.0768894843743
15, -1592.9860216064392, -1698.7338809494806
16, -1702.6551211197364, -1702.3843314215278
17, -1505.4256603658882, -1694.3054351139904
18, -1734.3192840458637, -1700.0488629871134
19, -1730.1392841966651, -1704.7579574596928
20, -1737.0482215068107, -1709.344488676442
21, -1679.0822844385584, -1709.9744709164472
22, -1753.4253669364057, -1714.760026715668
23, -1480.0367848191293, -1707.89061635168
24, -1473.7394330308664, -1701.323693243166
25, -1736.747684156328, -1705.082279145444
26, -1525.4993883184857, -1700.2831092411975
27, -1522.0468078073159, -1695.697891545306
28, -1481.6936319742897, -1690.498830531129
29, -1335.617117766135, -1683.8370775581898
30, -1309.6920884379808, -1677.1265015546542
31, -1314.2375198957193, -1670.5051128713008
32, -1382.7187303521596, -1664.701279841673
33, -1425.4330691146931, -1659.774576933244
34, -1264.379276165958, -1653.4505483115165
35, -1274.6491057938783, -1647.2465988704348
36, -1136.8946082194325, -1640.8806281645793
37, -1333.4605669246505, -1635.428436318495
38, -1346.0185643254033, -1630.3414863867647
39, -1313.592324980602, -1625.0592928453632
40, -1210.6933970263717, -1619.1327960653348
41, -1116.4074962694965, -1613.0189298463747
42, -1243.735971276358, -1607.4973735684252
43, -1155.1211236550582, -1601.5648052964507
44, -1321.2213932511406, -1597.2046599748435
45, -1104.230429683729, -1591.3353561002573
46, -1174.9324141528418, -1585.832346902847
47, -1109.2634143525866, -1580.1067594376605
48, -1107.2839625690044, -1574.4440528287328
49, -984.9965796747293, -1568.592479786193
50, -1057.618755679967, -1562.8222866299516
51, -938.3459847956881, -1561.4856163337945
52, -973.1038687298213, -1559.689779031641
53, -1106.7892320982814, -1552.7774809500202
54, -1248.4355946121034, -1545.0712856303567
55, -1024.5391972999446, -1534.4574901917572
56, -948.3717940016086, -1519.5768115772455
57, -979.2573306867996, -1500.0574338034314
58, -1034.3380374736357, -1492.3080996077101
59, -1165.9036479759611, -1478.816149103841
60, -1036.4156648406615, -1465.8009108246467
61, -901.963207514578, -1453.9429972818264
62, -872.4087432007515, -1437.0123749470954
63, -751.7785894865978, -1421.9670510303372
64, -774.7074468898772, -1402.929244872622
65, -756.8879009779974, -1388.8396446496888
66, -579.7931240180702, -1370.4037809716497
67, -938.068046344565, -1359.0982617790023
68, -628.4893414405326, -1337.9853736069492
69, -1082.6189293208365, -1320.0006075964375
70, -627.0225986749047, -1297.391675418279
71, -615.759668774795, -1276.2350005897415
72, -395.10724262603065, -1251.6177020702953
73, -497.3888984496497, -1235.9292761025663
74, -128.86817553325776, -1221.5461523338909
75, -252.89722996196934, -1194.5266410619556
76, -372.03674212769187, -1174.199085620719
77, -498.45939940650686, -1153.4937836459478
78, -125.68181956585005, -1133.606650079621
79, -127.53631816891301, -1117.2398921726244
80, -124.99108444539515, -1100.5542992858761
81, -248.18202922528826, -1082.8649657628025
82, -507.4241459506964, -1064.0059814543602
83, -245.47742897968897, -1041.4116346535397
84, -250.29044699879069, -1023.5062174839007
85, -852.4194375079309, -1012.4366533011726
86, -244.96617410738764, -997.6131072635281
87, -125.75691563737115, -975.5893608574494
88, -245.54166514539193, -952.9383783646874
89, -362.63548685637403, -931.7825108768458
90, -671.772567870025, -918.0742881745762
91, -123.32445284009724, -900.9506246266324
92, -497.2189326344239, -882.7152999128301
93, -768.5234607477481, -872.1607330111045
94, -242.66471508992856, -847.5254186698266
95, -247.7177731872333, -830.0143415377227
96, -244.94302122350913, -809.6416328859469
97, -749.6642521126536, -799.3691292279749
98, -125.17851509486012, -779.7178418000266
99, -124.38336538258692, -763.5627967303232
100, -0.7617568748521754, -743.9050873105018
101, -496.86037234649393, -733.1314709428783
102, -0.2717026919346955, -715.4108391410075
103, -246.04109668414816, -694.59861493245
104, -127.30264922595028, -666.3252330227272
105, -248.5611858717572, -647.4040105574373
106, -125.5819053301935, -629.4046013721452
107, -0.5386061921088912, -608.862703682138
108, -123.78015231653997, -586.6352979497656
109, -360.46595918937385, -561.490816384375
110, -125.32986596124458, -537.7300083078829
111, -123.06114073266812, -518.6933128085288
112, -600.0267187255328, -509.672717192837
113, -484.65230489598935, -501.8716838629257
114, -247.2728003567386, -488.36641488649445
115, -474.45204754850994, -479.85556221731724
116, -124.4703713614177, -470.68566784556526
117, -125.70552603255865, -447.98880983765946
118, -365.09124311035265, -440.82528857553143
119, -647.2931394411676, -421.58917347702027
120, -501.78595096426494, -417.611038225898
121, -247.4283568532791, -408.0745032923949
122, -624.3149139432875, -414.87460203127705
123, -119.7767256997614, -407.2545265602447
124, -370.55939297293963, -411.4760208291426
125, -644.494411253485, -421.85249495250844
126, -854.3385150067145, -437.8788472828841
127, -493.6438701796358, -437.7462187828572
128, -122.8608783842252, -437.7142901024101
129, -672.7940500251487, -450.30997827117716
130, -733.3177871403601, -464.78263097032857
131, -126.01141700611257, -463.14996099966334
132, -872.20440299505, -475.5670217498768
133, -0.15906653131470627, -472.86579480886087
134, -245.28427577666594, -472.7850951025757
